"CodeID","Folder","Paper","Authors","Year","ModelType","Economy","DynareFeatures","Category"
"Gali_2008_chapter_5_discretion","Gali_2008","Monetary Policy Inflation and the Business Cycle (2008) Ch.5: Discretion","Gali, Jordi","2008","NK model with optimal policy under discretion (linearized)","Generic","discretionary_policy command, linear-quadratic policy with model(linear), loss function specification","6. Optimal Policy"
"Gali_2010","Gali_2010","Monetary Policy and Unemployment (2010): Baseline Sticky Wage","Gali, Jordi","2010","NK DSGE with unemployment and sticky wages (TANK / search-matching, linearized)","Generic","TANK-style heterogeneous households (employed/unemployed), sticky wages, unemployment, search-and-matching labor market, linearized model, steady_state_model block","4. TANK / Heterogeneous"
"Gali_2010_calib_target","Gali_2010","Monetary Policy and Unemployment (2010): Calibration-Target Version","Gali, Jordi","2010","NK DSGE with sticky wages, calibration via steadystate.m targets","Generic","steadystate.m as calibration-target solver: passing calibration targets, calling nonlinear solver inside steadystate.m to recover deep parameters, correcting original calibration issues","4. TANK / Heterogeneous"
"Gali_2015_chapter_2","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.2","Gali, Jordi","2015","Classical monetary economy (flexible prices, linearized), 2nd edition","Generic","Flexible-price benchmark, money demand, natural allocation, standard NK precursor","2. NK Linearized"
"Gali_2015_chapter_3","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.3: Baseline NK","Gali, Jordi","2015","Baseline New Keynesian model (linearized), 2nd edition","Generic","Standard three-equation NK, Calvo, output gap, IRF analysis, key reference for NK linearized structure","2. NK Linearized"
"Gali_2015_chapter_3_nonlinear","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.3: Nonlinear","Gali, Jordi","2015","Baseline New Keynesian model (nonlinear structural equations)","Generic","Nonlinear NK model: original FOCs, Dixit-Stiglitz aggregator, price dispersion, Calvo pricing nonlinear form, steady_state_model block, R8-compliant writing","3. NK Nonlinear"
"Gali_2015_chapter_4","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.4: Welfare","Gali, Jordi","2015","NK model with welfare analysis of simple rules (linearized)","Generic","Welfare loss function under simple rules, OSR for simple rule optimization, ranking simple vs. optimal rules","6. Optimal Policy"
"Gali_2015_chapter_5_commitment","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.5: Ramsey","Gali, Jordi","2015","NK model with Ramsey optimal policy (linearized), 2nd edition","Generic","ramsey_model command, commitment policy targeting rules, planner objective in linearized setting","6. Optimal Policy"
"Gali_2015_chapter_5_commitment_ZLB","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.5: Commitment ZLB","Gali, Jordi","2015","NK model with optimal commitment policy at ZLB (perfect foresight)","Generic","perfect_foresight_setup/solver, lmmcp complementarity solver for ZLB, anticipated commitment policy path, OccBin alternative demo","8. Perfect Foresight"
"Gali_2015_chapter_5_discretion","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.5: Discretion","Gali, Jordi","2015","NK model with optimal discretion policy (linearized), 2nd edition","Generic","discretionary_policy command, linear-quadratic framework, model(linear) requirement, loss function","6. Optimal Policy"
"Gali_2015_chapter_5_discretion_ZLB","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.5: Discretion ZLB","Gali, Jordi","2015","NK model with optimal discretion at ZLB (perfect foresight)","Generic","perfect_foresight_setup/solver, lmmcp for ZLB under discretion, deterministic simulation with inequality constraint","8. Perfect Foresight"
"Gali_2015_chapter_6","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.6: Wages","Gali, Jordi","2015","NK model with price and wage rigidities (Calvo wages, linearized)","Generic","Wage Calvo staggering, wage inflation equation, real wage rigidities, dual Phillips curves (price + wage), employment vs. unemployment gap","2. NK Linearized"
"Gali_2015_chapter_6_4","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.6.4: Ramsey w/ Wages","Gali, Jordi","2015","NK model with price + wage rigidities, Ramsey optimal policy (linearized)","Generic","ramsey_model with dual rigidities, Ramsey targeting rules in price+wage setting, policy tradeoffs with both rigidities","6. Optimal Policy"
"Gali_2015_chapter_6_5","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.6.5: Simple Rules w/ Wages","Gali, Jordi","2015","NK model with price + wage rigidities, simple rules (linearized)","Generic","OSR under dual rigidities, welfare ranking of price-gap vs. wage-gap targeting rules","6. Optimal Policy"
"Gali_2015_chapter_7","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.7: Unemployment","Gali, Jordi","2015","NK model with unemployment (linearized), 2nd edition Ch.7","Generic","Unemployment in NK model, matching frictions light, Calvo wages, unemployment gap targeting, flow profits block","2. NK Linearized"
"Gali_2015_chapter_8","Gali_2015","Monetary Policy Inflation and the Business Cycle 2nd Ed (2015) Ch.8: Open Economy","Gali, Jordi","2015","NK small open economy model (linearized), 2nd edition Ch.8","Generic","Small open economy NK, terms of trade, Uncovered Interest Parity (UIP), world interest rate, exchange rate pass-through, model(linear)","9. Open Economy"
"Gali_Monacelli_2005","Gali_Monacelli_2005","Monetary Policy and Exchange Rate Volatility in a Small Open Economy","Gali, Jordi and Monacelli, Tommaso","2005","NK small open economy model (linearized)","Generic","Small open economy NK, UIP, terms of trade, producer vs. consumer PPI, LaTeX output from Dynare (write_latex_static_model, write_latex_dynamic_model), Calvo pricing","9. Open Economy"
"Hansen_1985","Hansen_1985","Indivisible Labor and the Business Cycle","Hansen, Gary D.","1985","RBC with indivisible labor (Rogerson 1988 lottery technology)","USA","loglinear option (logs without loglinearizing the model, get moments in percent deviations), get_simul_replications.m for reading simul_replic simulations, nonlinear RBC structure","1. RBC / NK Basics"
"Ireland_2004","Ireland_2004","Technology Shocks in the New Keynesian Model","Ireland, Peter N.","2004","NK DSGE with technology, preference, cost-push shocks (linearized)","USA","Maximum likelihood (ML) estimation in Dynare, estimation command with mode_compute=4 (csminwel), observed variables (varobs), data file structure, estimated_params block","5. Estimation (ML/Bayesian)"
"NK_linear_forward_guidance","NK_linear_forward_guidance","Forward guidance in baseline NK model (technical demonstration)","Pfeifer, Johannes","2015","Baseline NK model with forward guidance via anticipated shocks (linearized)","Generic","Forward guidance as a sequence of anticipated monetary policy shocks, news shocks in linearized model, multiple-period-ahead shock announcements in shocks block","11. Special Methods"
"RBC_baseline","RBC_baseline","Baseline RBC model calibrated to US data (King-Rebelo style)","Pfeifer, Johannes","2016","Standard RBC with TFP and government spending shocks (nonlinear)","USA","Standard RBC nonlinear structure, external steadystate.m interface (passing parameters and computing analytical steady state outside .mod), AR(1) shock processes, stoch_simul moments vs. data","1. RBC / NK Basics"
"RBC_baseline_first_diff_bayesian","RBC_baseline","Bayesian estimation of baseline RBC on first-differenced data","Pfeifer, Johannes","2016","Standard RBC, Bayesian estimation on simulated data (linearized)","USA","Bayesian estimation of RBC, first-differenced observables, prior and posterior comparison, estimated_params block structure","5. Estimation (ML/Bayesian)"
"RBC_baseline_welfare","RBC_baseline_welfare","Welfare-maximizing optimal labor tax in RBC model","Pfeifer, Johannes","2016","RBC with distortionary labor tax, recursive welfare definition (nonlinear)","USA","Recursive welfare defined in model block (W = u(c,l) + betta*W(+1)), OSR/optimizer to find welfare-maximizing tax, steady state tax targeting, welfare comparison across tax rates","10. Welfare Analysis"
"RBC_IRF_matching","RBC_IRF_matching","IRF matching estimation of RBC shock persistence","Pfeifer, Johannes","2016","RBC with government spending AR(2), IRF matching estimation","USA","IRF matching via method_of_moments or custom optimizer, empirical IRFs construction, IRF_matching_objective.m loss function, estimation of shock process parameters to match empirical IRFs","5. Estimation (ML/Bayesian)"
"RBC_news_shock_model","RBC_news_shock_model","RBC model with pure news shocks (Beaudry-Portier type)","Pfeifer, Johannes","2016","RBC with additively separable utility, TFP news shocks","USA","Anticipated (news) shocks: 8-quarter-ahead news that does NOT materialize at t=0, shocks block with periods specification, pure news IRF (announcement without realization), Beaudry-Portier 2004 experiment type","11. Special Methods"
"SGU_2003","SGU_2003","Closing Small Open Economy Models","Schmitt-Grohe, Stephanie and Uribe, Martin","2003","RBC small open economy with debt-elastic interest rate premium","Generic/SOE","Five methods to close small open economy models (debt-elastic premium, endogenous discount factor, convex portfolio adj. cost, complete markets, stationarity-inducing transformation), stationarity issues in open economy","9. Open Economy"
"SGU_2004","SGU_2004","Solving DSGE Models Using Second-Order Approximation","Schmitt-Grohe, Stephanie and Uribe, Martin","2004","Neoclassical growth model, second-order perturbation","USA","Second-order approximation to policy function (order=2 in stoch_simul), pruning, correction terms, welfare comparison first vs. second order, nonlinear nonlinearized model","7. Higher-Order Methods"
"Smets_Wouters_2007_45","Smets_Wouters_2007","Shocks and Frictions in US Business Cycles: A Bayesian DSGE Approach","Smets, Frank and Wouters, Rafael","2007","Large-scale estimated NK DSGE with habits, investment adj. costs, Calvo prices+wages, variable capital utilization, 7 shocks","USA","Full Bayesian estimation with LaTeX documentation (write_latex_*), posterior mode, MH chain, prior_posterior_statistics, variance decomposition, historical decomposition, forecast, all in one mod-file, full SW07 structure reference","5. Estimation (ML/Bayesian)"
"Solow_SS_transition","Solow_model","Solow-Swan transition to steady state (Cobb-Douglas)","Pfeifer, Johannes","2016","Solow-Swan growth model (perfect foresight)","Generic","perfect_foresight_setup / perfect_foresight_solver for steady state transitions, initval/endval blocks, starting from off-steady-state capital stock, determinstic simulation","8. Perfect Foresight"
"Solow_growth_rate_changes","Solow_model","Solow-Swan model after technology or population growth changes","Pfeifer, Johannes","2016","Solow-Swan with parameter changes (perfect foresight)","Generic","Unanticipated permanent parameter change in perfect foresight: modify shocks block with values for level changes, permanent change implementation pattern","8. Perfect Foresight"
"Solow_nonstationary","Solow_model","Solow-Swan model on balanced growth path (nonstationary)","Pfeifer, Johannes","2016","Solow-Swan with trending labor-augmenting tech + population (non-detrended, perfect foresight)","Generic","Handling nonstationary models in perfect foresight (aggregate non-detrended form), trending processes defined in model block, BGP simulation without detrending","8. Perfect Foresight"
